,Bacteria,NP_Synthesis,Drug,Drug_class_drug_bank,Drug_dose,NP_concentration,NP size_min,NP size_max,shape,method,ZOI_drug,ZOI_drug_NP,MDR_check
0,Escherichia coli,chem_synthesis_reduction_by_D_maltose,Amoxicillin,Lactams,360.88275862068963,33.77049180327869,4.0,10.0,spherical,MIC,32.0,32.0,1
1,Escherichia coli,chem_synthesis_reduction_by_D_maltose,Penicillin,Carboxylic acids and derivatives,360.88275862068963,33.77049180327869,4.0,10.0,spherical,MIC,32.0,32.0,1
2,Escherichia coli,chem_synthesis_reduction_by_D_maltose,Amoxicillin,Lactams,360.88275862068963,33.77049180327869,15.0,30.0,spherical,MIC,32.0,32.0,1
3,Escherichia coli,chem_synthesis_reduction_by_D_maltose,Penicillin,Carboxylic acids and derivatives,360.88275862068963,33.77049180327869,15.0,30.0,spherical,MIC,32.0,32.0,1
4,Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Vancomycin,Carboxylic acids and derivatives,30.0,100.0,5.0,30.0,spherical,disc_diffusion,0.0,19.0,1
5,Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Gentamicin,Aminoglycosides,10.0,100.0,5.0,30.0,spherical,disc_diffusion,0.0,19.0,1
6,Staphylococcus aureus,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,12.0,15.0,0
7,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,20.0,40.0,spherical,MIC,500.0,62.5,1
8,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,50.0,0
9,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,46.0,48.0,0
